movieId,starId
3,1
3,2
3,3
3,4
1,5
1,6
1,7
1,8
2,9
2,10
2,11
2,12
4,13
4,14
4,15
4,16
5,17
5,18
5,19
5,20
6,21
6,22
6,23
6,24
7,25
7,26
7,27
7,28
9,29
9,30
9,31
9,32
8,33
8,34
8,35
8,36
10,37
10,38
10,39
10,40
11,41
11,42
11,43
11,44
12,45
12,46
12,47
12,48
13,49
13,50
13,51
13,52
14,53
14,54
14,30
14,55
15,56
15,57
15,58
15,59
17,60
17,61
17,62
17,63
16,22
16,64
16,65
16,66
18,67
18,68
18,69
18,70
19,71
19,72
19,73
19,74
20,75
20,76
20,77
20,78
22,79
22,80
22,81
22,82
21,83
21,84
21,85
21,86
23,87
23,68
23,88
23,89
25,90
25,91
25,92
25,93
24,94
24,95
24,96
24,97
26,98
26,99
26,100
26,101
27,102
27,103
27,104
27,105
29,106
29,107
29,108
29,109
28,110
28,111
28,112
28,113
30,114
30,115
30,116
30,117
31,118
31,119
31,120
31,121
32,122
32,123
32,124
32,125
34,126
34,127
34,128
34,129
36,130
36,131
36,132
36,31
39,133
39,134
39,135
39,136
38,137
38,138
38,139
38,140
40,141
40,142
40,143
40,144
41,145
41,42
41,146
41,147
42,148
42,149
42,150
42,151
43,152
43,153
43,154
43,155
45,156
45,157
45,158
45,159
44,160
44,161
44,162
44,163
46,164
46,165
46,166
46,167
47,168
47,124
47,169
47,170
48,171
48,172
48,173
48,174
49,175
49,176
49,177
49,178
50,169
50,179
50,180
50,181
53,182
53,183
53,184
53,185
52,186
52,187
52,188
52,189
54,138
54,190
54,191
54,192
55,193
55,194
55,195
55,196
57,80
57,166
57,152
57,197
60,198
60,199
60,200
60,201
58,202
58,203
58,204
58,205
61,206
61,207
61,55
61,208
62,209
62,210
62,211
62,212
63,213
63,214
63,215
63,216
64,217
64,218
64,219
64,220
65,221
65,181
65,222
65,223
68,224
68,225
68,226
68,227
66,228
66,229
66,230
66,231
69,232
69,150
69,233
69,234
70,235
70,236
70,237
70,238
71,239
71,240
71,241
71,242
72,243
72,244
72,245
72,246
74,247
74,248
74,249
74,250
73,251
73,252
73,253
73,254
76,255
76,256
76,257
76,258
75,259
75,260
75,261
75,262
77,263
77,264
77,265
77,266
78,267
78,268
78,269
78,270
79,103
79,271
79,272
79,273
80,274
80,275
80,276
80,277
81,278
81,279
81,280
81,281
83,282
83,283
83,284
83,285
82,286
82,287
82,288
82,289
86,290
86,291
86,292
86,293
85,294
85,295
85,296
85,297
87,298
87,299
87,300
87,301
88,302
88,303
88,304
88,305
92,306
92,307
92,308
92,309
89,310
89,279
89,311
89,144
94,157
94,312
94,313
94,314
93,315
93,14
93,316
93,317
95,86
95,247
95,318
95,319
97,320
97,321
97,322
97,323
96,324
96,325
96,326
96,327
99,328
99,329
99,330
99,331
100,21
100,332
100,51
100,333
101,334
101,335
101,336
101,337
102,338
102,339
102,340
102,341
103,342
103,343
103,344
103,242
104,345
104,242
104,346
104,347
106,348
106,349
106,350
106,351
105,352
105,353
105,354
105,355
107,356
107,357
107,358
107,359
108,360
108,361
108,362
108,363
110,171
110,364
110,365
110,366
113,353
113,367
113,368
113,369
111,22
111,370
111,371
111,372
112,373
112,374
112,375
112,376
116,99
116,377
116,378
116,379
117,380
117,381
117,382
117,383
118,384
118,385
118,386
118,387
119,278
119,388
119,389
119,390
121,177
121,391
121,392
121,393
122,315
122,394
122,395
122,396
125,386
125,397
125,398
125,399
123,400
123,401
123,402
123,403
126,404
126,405
126,406
126,407
129,408
129,409
129,410
129,411
132,412
132,343
132,180
132,413
128,414
128,415
128,416
128,416
137,417
137,418
137,419
137,420
135,421
135,422
135,423
135,424
140,425
140,118
140,426
140,427
144,428
144,429
144,430
144,431
141,9
141,432
141,83
141,433
145,434
145,435
145,436
145,437
146,438
146,439
146,440
146,441
147,442
147,443
147,444
147,445
148,446
148,447
148,448
148,449
149,450
149,451
149,452
149,453
150,5
150,454
150,49
150,455
151,367
151,456
151,457
151,67
153,23
153,458
153,71
153,156
152,459
152,279
152,460
152,461
154,462
154,463
154,464
154,465
155,397
155,466
155,467
155,468
156,235
156,469
156,44
156,470
157,471
157,472
157,473
157,474
159,235
159,475
159,319
159,476
158,339
158,102
158,477
158,478
160,479
160,356
160,480
160,481
163,68
163,482
163,483
163,484
162,485
162,486
162,487
162,488
161,83
161,489
161,490
161,119
165,122
165,491
165,492
165,493
164,489
164,494
164,495
164,496
166,497
166,498
166,499
166,500
168,501
168,502
168,26
168,503
170,504
170,505
170,506
170,507
169,404
169,508
169,509
169,510
171,48
171,511
171,512
171,513
172,514
172,515
172,516
172,517
173,87
173,518
173,423
173,519
174,221
174,520
174,521
174,522
176,523
176,524
176,81
176,525
175,526
175,527
175,528
175,529
178,530
178,531
178,532
178,533
177,534
177,535
177,536
177,537
179,538
179,539
179,507
179,540
181,541
181,542
181,543
181,544
180,545
180,546
180,547
180,548
183,549
183,550
183,551
183,552
184,452
184,553
184,554
184,555
185,217
185,556
185,557
185,558
186,446
186,88
186,260
186,340
187,559
187,560
187,561
187,562
188,279
188,563
188,564
188,244
189,565
189,566
189,567
189,568
191,103
191,569
191,570
191,571
190,88
190,572
190,573
190,574
193,575
193,576
193,577
193,578
194,235
194,579
194,580
194,581
195,306
195,582
195,570
195,583
196,584
196,508
196,585
196,586
198,587
198,14
198,237
198,494
199,462
199,588
